Caruaru,BR,Pernambuco,231874,NULL,NULL
Casablanca,MA,Morocco,2940623,-7.65,33.5833
Cascavel,BR,Parana,219623,NULL,NULL
Castanhal,BR,Para,117747,NULL,NULL
"Castellon de la Plana",E,Valencia,139094,NULL,NULL
Castries,WL,"Saint Lucia",49000,-60.5,14
Catanduva,BR,"Sao Paulo",100913,NULL,NULL
Catania,I,Sicilia,364176,NULL,NULL
Catanzaro,I,Calabria,103802,16.35,38.55
"Catia La Mar",YV,"Distrito Federal",100104,NULL,NULL
Caucaia,BR,Ceara,208902,NULL,NULL
Caxias,BR,Maranhao,133710,NULL,NULL
"Caxias do Sul",BR,"Rio Grande do Sul",326222,NULL,NULL
Caxito,ANG,Bengo,NULL,NULL,NULL
Cayenne,FGU,"French Guiana",38155,-52.45,4.93333
Cebu,RP,Philippines,662000,NULL,NULL
"Cedar Rapids",USA,Iowa,113482,-91.7,41.8833
Celaya,MEX,Guanajuato,214856,NULL,NULL
"Cerro de Pasco",PE,Pasco,NULL,NULL,NULL
"Ceske Budejovice",CZ,Jihocesky,174000,NULL,NULL
Chachapoyas,PE,Amazonas,NULL,NULL,NULL
"Chake Cahke",EAT,"Kusini Pemba",NULL,NULL,NULL
Chalatenango,ES,"El Salvador",NULL,NULL,NULL
"Chalons sur Marne",F,"Champagne Ardenne",NULL,NULL,NULL
Chandigarh,IND,Chandigarh,510565,76.5,30.5
Chandler,USA,Arizona,142918,NULL,NULL
Changchun,TJ,Jilin,2110000,125.15,43.5
Changde,TJ,Hunan,301276,NULL,NULL
Changhua,RC,Taiwan,221090,NULL,NULL
Changsha,TJ,Hunan,1330000,113.5,28.1
Changshu,TJ,Jiangsu,181805,NULL,NULL
Changzhi,TJ,Shanxi,317144,NULL,NULL
Changzhou,TJ,Jiangsu,531470,NULL,NULL
Chaoxian,TJ,Anhui,123676,NULL,NULL
Chaoyang,TJ,Liaoning,222394,NULL,NULL
Chaozhou,TJ,Guangdong,313469,NULL,NULL
Chapeco,BR,"Santa Catarina",130458,NULL,NULL
Charjew,TM,Leban,166400,NULL,NULL
Charleroi,B,Hainaut,206491,NULL,NULL
Charleston,USA,"West Virginia",63968,-81.6,38.3667
Charlotte,USA,"North Carolina",441297,-80.9333,35.2167
Charlottetown,CDN,"Prince Edward Island",24837,-63.2,46.2
Chattanooga,USA,Tennessee,150425,-85.2,35.0333
Cheboksary,R,"Chuvash Republic",450000,NULL,NULL
Cheju,ROK,"South Korea",258509,NULL,NULL
Chelm,PL,Chelmskie,NULL,NULL,NULL
Chelmsford,GB,Essex,155700,NULL,NULL
